firma_adi,kategoriler,logo_url
hilton avanos,AVM - İş Merkezi - Otel,https://ensotek.com/upload/1/ensotek-referanslari-hilton-avanos-250x250-1.jpg
ho won otomotiv,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-ho-won-otomotiv-250x250-1.jpg
hwaseung,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-hwaseung-250x250-1.jpg
hwaseung otomotiv,Otomotiv,https://ensotek.com/upload/16/hwaseung-otomotiv-250x250-1.jpg
ic hotels,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-ic-hotels-250x250-1.jpg
icdas,Metal,https://ensotek.com/upload/16/icdas-250x250-1.png
ilci holding,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-ilci-holding-250x250-1.jpg
iltekno,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-iltekno-250x250-1.jpg
inci kimya,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-inci-kimya-250x250-1.jpg
ineva,Enerji; Mühendislik - Makine,https://ensotek.com/upload/16/ineva-250x250-1.png
ipek,Tekstil,https://ensotek.com/upload/1/ensotek-referanslari-ipek-250x250-1.jpg
isdemir,Metal,https://ensotek.com/upload/1/ensotek-referanslari-isdemir-250x250-1.jpg
isik,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-isik-250x250-1.jpg
isimak,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-isimak-250x250-1.jpg
iskefe,Kimya,https://ensotek.com/upload/10/ensotek-referanslari-iskefe-250x250-1.jpg
iskefe deri,Tekstil,https://ensotek.com/upload/17/iskefe-deri-250x250-1.png
izgen,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-izgen-250x250-1.jpg
izober besler,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-izober-besler-250x250-1.jpg
jahon invest,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-jahon-invest-250x250-1.jpg
jv agromir,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-jv-agromir-250x250-1.jpg
kafaoglu,Plastik,https://ensotek.com/upload/3/ensotek-referanslari-kafaoglu-250x250-1.jpg
kale,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-kale-250x250-1.jpg
kale aero,Mühendislik - Makine,https://ensotek.com/upload/4/ensotek-referanslari-kale-aero-250x250-1.jpg
kale kayislari,Mühendislik - Makine; Plastik,https://ensotek.com/upload/1/ensotek-referanslari-kale-kayislari-250x250-1.jpg
kale kimya kimyevi mad san ve tic as,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-kale-kimya-kimyevi-mad-san-ve-tic-as-250x250-1.jpg
kale sac,Metal,https://ensotek.com/upload/2/ensotek-referanslari-kale-sac-250x250-1.jpg
kalkanci,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-kalkanci-250x250-1.jpg
kalyon,Başlıca Referanslar,https://ensotek.com/upload/1/ensotek-referanslari-kalyon-250x250-1.jpg
kar group,Çimento - Maden,https://ensotek.com/upload/17/kar-group-250x250-1.jpg
kar yapi tasarim as,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-kar-yapi-tasarim-as-250x250-1.jpg
karakoc tekstil san ve tic as,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-karakoc-tekstil-san-ve-tic-as-250x250-1.jpg
karam yag,Gıda & Yağ,https://ensotek.com/upload/4/ensotek-referanslari-karam-yag-250x250-1.jpg
karsan,Otomotiv,https://ensotek.com/upload/1/ensotek-referanslari-karsan-250x250-1.jpg
kartonsan,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-kartonsan-250x250-1.jpg
kat company,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-kat-company-250x250-1.jpg
kavsan,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-kavsan-250x250-1.jpg
kay star,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-kay-star-250x250-1.jpg
kaya aksesuar ve aluminyum,Alüminyum - Tel Çekme,https://ensotek.com/upload/10/ensotek-referanslari-kaya-aksesuar-ve-aluminyum-250x250-1.jpg
kaya hotels,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-kaya-hotels-250x250-1.jpg
kayalar,Plastik,https://ensotek.com/upload/3/ensotek-referanslari-kayalar-250x250-1.jpg
kayseri seker fabrikasi,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-kayseri-seker-fabrikasi-250x250-1.jpg
kayseri stropor,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/11/ensotek-referanslari-kayseri-stropor-250x250-1.jpg
kervansaray,AVM - İş Merkezi - Otel,https://ensotek.com/upload/2/ensotek-referanslari-kervansaray-250x250-1.jpg
keskinoglu,Gıda & Yağ,https://ensotek.com/upload/1/ensotek-referanslari-keskinoglu-250x250-1.jpg
kfs kucukcalik,Tekstil,https://ensotek.com/upload/10/ensotek-referanslari-kfs-kucukcalik-250x250-1.jpg
kilic,Gıda & Yağ,https://ensotek.com/upload/3/ensotek-referanslari-kilic-250x250-1.jpg
kimflor kimya san ve tic as,Kimya,https://ensotek.com/upload/9/ensotek-referanslari-kimflor-kimya-san-ve-tic-as-250x250-1.jpg
kipas holding,Enerji,https://ensotek.com/upload/16/ensotek-referanslari-kipas-holding-250x250-1.jpg
kirpart,Otomotiv,https://ensotek.com/upload/3/ensotek-referanslari-kirpart-250x250-1.jpg
kombassan,Ambalaj - Kağıt - Yalıtım,https://ensotek.com/upload/1/ensotek-referanslari-kombassan-250x250-1.jpg
kompen,Plastik,https://ensotek.com/upload/1/ensotek-referanslari-kompen-250x250-1.jpg
konya cimento,Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-konya-cimento-250x250-1.jpg
korel elektronik,Mühendislik - Makine; Çimento - Maden,https://ensotek.com/upload/4/ensotek-referanslari-korel-elektronik-250x250-1.jpg
